PG.ProteinAccessions,GeneID,P10_01,P10_02,P10_03,P10_07,P10_08,P10_21,P10_22,P10_23,P10_24,P10_25,P10_26,P10_27,P10_28,P11_39,P11_01,P11_02,P11_03,P11_04,P11_05,P11_06,P11_07,P11_08,P11_09,P11_10,P11_11,P11_12,P11_13,P11_14,P11_15,P11_16,P11_17,P11_18,P11_19,P11_20,P11_21,P11_22,P11_23,P11_24,P11_25,P11_26,P11_27,P11_28,P11_29,P11_30,P11_31,P11_32
A0A075B6H7,IGKV3-7,7069.25293,4587.743652,2708.656738,5408.625488,9042.414063,2701.793457,3888.941895,4032.028564,3186.343262,5783.587402,4021.659424,1955.404785,4159.378418,14308.06543,6053.717773,10996.82715,4298.76709,2253.251465,5930.962891,8230.229492,3018.911865,11040.20801,3418.818848,7797.766602,1157.308105,4123.726563,1463.106567,4091.891846,7285.835938,9806.808594,4299.285645,5426.3125,11649.0957,1830.239136,8675.801758,3852.467529,7870.920898,14077.20703,11456.28027,2432.716797,12096.66699,5609.845703,4846.365723,3345.900879,3883.902832,6325.124512
A0A075B6H9,IGLV4-69,2470.269775,3736.309326,4990.206543,2637.368164,6248.548828,6393.370117,8081.426758,5601.692383,6640.669434,10711.36133,5480.333984,10141.11426,6390.469727,908.8807373,2968.394531,3291.243652,3954.20874,13962.88281,12108.44238,2601.046143,3491.811768,2140.714355,6010.036133,3487.097412,1874.719116,2432.894531,15494.50195,4117.638184,3829.04834,3043.999268,2955.469971,6648.121094,6202.651855,5450.489746,1193.804932,1206.317505,1701.758179,2123.266846,2464.827881,1116.582642,3873.593262,3740.187256,4441.701172,341.5354614,3236.091309,1178.699829
A0A075B6I0,IGLV8-61,973.4458008,467.5762329,447.6065979,450.9944458,492.3161621,NaN,253.6990509,327.0477905,1222.304199,1297.104614,661.9014893,1262.519897,89.846138,2336.940674,669.2324829,798.6149902,660.4072876,667.2475586,2577.163818,767.1885376,1825.946289,1005.111938,726.2905884,744.1480103,1434.957397,397.9277039,940.692749,5.348435402,748.4923096,456.3632507,233.9730682,794.7598877,921.4803467,407.3269653,2844.67334,5859.830078,2992.154541,4495.15918,3758.431641,955.430481,1384.764282,316.872467,1113.609741,1591.630615,1206.078857,136.0522003
A0A075B6I1,IGLV4-60,393.7017822,NaN,NaN,166.7050018,27.89664078,7.653996944,190.5521088,NaN,NaN,405.415802,NaN,NaN,14.9605608,NaN,174.9813385,7.832173824,NaN,NaN,230.7324524,NaN,6.00198555,134.6753235,NaN,37.35033798,502.3397522,NaN,1.88207376,863.5122681,8.060495377,NaN,NaN,230.6745605,NaN,NaN,18.97241592,166.6730652,60.68373108,75.02120972,120.1613693,NaN,129.1628113,NaN,NaN,231.0198517,NaN,NaN
A0A075B6I4,IGLV10-54,48.25866318,25.02643967,114.9108353,15.95423222,NaN,252.5500183,NaN,348.7746582,277.0647278,131.4059753,138.322403,480.3390198,8.418576241,22.3648777,144.8851013,297.0836792,208.2759857,293.2720642,33.97572327,103.585762,57.48122787,50.73269272,NaN,183.7671204,23.41763687,142.2324524,34.58342361,66.81259155,158.24086,97.07670593,51.60884476,21.12548828,43.05672836,211.5501404,NaN,181.1748199,133.139801,101.5368576,37.81147003,122.7916107,21.49890327,59.42744827,63.8490181,27.21996307,139.9138641,48.36424637
A0A075B6I9,IGLV7-46,10819.90137,4370.196289,7873.473145,14552.03809,10682.80176,6358.288086,4368.060547,9670.665039,8566.416016,17220.7207,14170.02832,16313.2793,12632.41211,14216.7207,5794.359375,30381.92383,6386.712402,5937.594727,13003.50586,5757.16748,16073.9541,30742.72266,5910.614258,7062.728516,6770.571289,4935.366699,9489.816406,8146.882813,10976.26172,7952.255371,2915.594238,11622.75293,4479.758789,10044.58301,4532.339844,5689.243652,8659.001953,14052.55859,5640.083496,3026.010254,6035.942871,2658.560303,4119.713379,7122.607422,1960.295044,1250.602661
A0A075B6J1,IGLV5-37,35.93332291,21.34800911,18.74205399,305.8823547,91.31124115,NaN,NaN,NaN,88.70355225,NaN,NaN,117.7756577,NaN,NaN,17.77787399,10.96618652,11.38249493,NaN,168.4947357,53.23285294,41.6979866,20.05942345,52.71564865,8.261131287,48.37105179,9.080899239,105.2792587,NaN,285.647583,10.39395142,NaN,4.877468586,71.71364594,104.4114151,100.8306885,19.82683563,NaN,117.9287567,36.29271317,31.58512306,NaN,14.76844978,NaN,8.184328079,4.324556828,22.24364662
A0A075B6J9,IGLV2-18,513.010498,482.5592957,851.6704712,594.7224731,307.7388916,633.5535889,1151.971191,530.0893555,1261.515747,1189.006104,1510.265747,1027.964233,751.2081909,189.7921906,652.5672607,356.0010376,540.4772949,1282.998535,1040.696533,158.2019196,1059.89624,447.8500061,1071.881958,330.3031921,543.1588745,220.5075073,1502.589966,375.51651,721.6112671,313.6114197,225.0110168,1287.331543,583.6721802,1994.131348,95.55487061,430.4162598,246.0261993,348.9298706,837.0174561,293.9776917,468.6732483,490.6646118,80.32932281,72.11464691,664.9397583,404.8902283
A0A075B6K0,IGLV3-16,2315.756104,49.52135086,727.2295532,NaN,65.48839569,91.65837097,268.9173584,261.6194458,739.3327637,NaN,NaN,364.7546082,558.0960083,158.8219452,2030.204712,NaN,67.09064484,456.3089905,NaN,143.1256409,115.4375916,655.6347656,NaN,164.6187134,98.45771027,159.5235138,NaN,126.1564102,112.0309601,334.1257935,108.144722,NaN,30.35311508,NaN,103.0902634,194.0860291,162.3243103,150.5574799,107.8951416,144.3309326,224.6030273,58.18213654,121.3980103,110.0414429,372.1663208,80.26324463
A0A075B6K2,IGLV3-12,10574.61328,11011.16797,14353.74512,7176.035156,8116.681152,15487.86035,10379.91406,12905.12793,10541.55566,25293.28906,18175.10742,13476.08008,8892.208984,7307.188477,2683.686279,85914.14844,5260.146973,6749.22168,3688.389404,4928.363281,4365.144043,3523.7229,9214.310547,3716.316162,3185.207031,5943.229004,6467.887207,5076.271973,3158.522705,6455.310547,3404.547852,7213.0625,5755.143066,4410.931641,4798.20752,1911.4552,2675.902344,3379.697754,3546.559814,7376.094727,6814.766602,11311.08398,5989.611816,1448.852051,2117.256836,2830.31958
A0A075B6K4,IGLV3-10,8752.358398,6497.225586,11158.19238,12346.21289,9037.46582,2219.174316,8551.038086,10234.37109,18689.67773,30271.48633,22934.65234,8601.810547,18043.04297,8012.318848,9720.992188,6267.633301,3445.234619,6368.307617,13054.08105,6174.865723,6331.484863,8941.631836,9244.225586,8186.080566,9970.079102,5016.28125,8462.611328,6525.084473,5735.713379,4012.848145,7453.274414,16270.77734,7911.606934,7766.678223,13749.2666,17093.36133,7844.450684,9045.460938,16473.41992,7654.358887,20078.37891,11250.87695,9678.702148,5850.124512,10708.89453,9203.254883
A0A075B6K5,IGLV3-9,3635.161377,3914.509766,4782.75,5234.666504,6567.500977,6143.700195,5133.154297,9274.958008,7339.655762,12675.87109,11632.91895,7259.521973,6551.562012,2461.563477,3217.076172,4010.379639,2735.988525,4876.334473,5961.697266,3046.563232,4126.38623,2937.895996,3976.730225,3732.980713,5118.63916,3056.542236,5117.71875,5322.844727,2441.535889,2547.110107,3925.355225,7208.287598,5979.540527,4029.312256,2882.904297,2486.613037,2896.455078,3753.901367,5704.398438,3667.357178,3817.78418,6044.672852,2912.624268,1819.766724,3459.216553,4752.378418
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,324.119812,210.5630035,424.9577332,305.2989502,418.920929,380.9034729,677.3463745,711.8218384,711.9679565,671.1121826,931.4187012,765.4121094,615.5953979,217.6229095,775.0429688,581.40802,249.3990479,643.4963379,871.809082,553.3913574,622.0479736,659.3477783,667.9225464,393.9491882,1072.596313,335.3462219,961.2859497,420.9897156,931.0479736,515.8334351,725.2398682,1279.568115,613.3742676,828.8878174,124.593689,70.61561584,169.2375641,117.6581726,296.7096252,339.6708679,175.9481964,891.1157837,156.173645,130.6231995,206.5505981,126.1973343
A0A075B6Q5,IGHV3-64,301.2470398,233.5895844,476.5830994,228.1465149,258.5780334,821.960083,216.8482361,164.7413788,259.362854,865.427063,718.3213501,987.335144,361.8809204,1269.679443,315.7906189,367.2239685,308.9232788,891.3374634,1219.273071,360.7575378,508.1974182,386.8873291,868.281189,402.6489258,352.1165161,148.3408356,203.2600861,189.5159149,414.0133972,363.5084229,837.4237061,545.772522,161.0187531,470.2719421,822.1159668,843.1676025,312.5625305,455.3039551,1352.43103,490.7125244,401.0366211,150.2044678,162.209259,278.9633789,194.7014771,164.324234
A0A075B6R2,IGHV4-4,29.46078491,57.17243576,250.3944397,49.9144249,229.3515167,NaN,NaN,NaN,NaN,193.0397339,203.7254639,NaN,NaN,NaN,NaN,167.1570587,213.359787,422.0321045,192.9494781,NaN,283.7886047,121.1695633,9.786922455,NaN,226.7822113,NaN,1224.53418,NaN,10.82022667,266.7554321,NaN,288.6175232,NaN,NaN,NaN,33.05649567,23.15320015,7.000579834,23.45575333,12.59860992,24.29119492,171.4171906,NaN,NaN,NaN,NaN
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,3521.302979,2332.474854,5968.126465,3654.955566,2667.33374,6985.539063,7655.936523,6273.96582,4439.723633,10847.85352,16912.0332,5363.944824,6027.570313,1114.881348,8572.266602,3678.096924,2179.643066,9172.672852,5821.472168,4771.959961,8490.763672,6543.520996,7140.990234,3795.535645,3332.507568,2854.410156,4860.645996,3265.376709,3273.391602,2623.941406,4001.112305,10194.49902,3581.322754,7281.740234,181.7113342,1407.048706,241.2258759,659.5601807,2828.182373,602.9489136,307.2237549,3632.26123,105.6499634,47.39376068,2190.394531,502.9267883
A0A075B6S2,IGKV2D-29,11404.34277,8851.40918,14855.76563,19446.79883,14393.79395,18365.87891,22080.83008,19869.76172,18011.76172,18337.17578,21961.07227,19276.86328,19834.51563,12233.94727,15285.55176,14137.03418,8028.001953,13738.10059,21044.68164,14660.83496,9524.202148,9506.134766,11314.93555,12487.34375,17007.92188,8850.288086,15333.89941,13404.11816,20932.35352,10325.45313,13725.12695,34422.63672,12103.94434,19181.125,8932.049805,9902.228516,9825.083008,9113.621094,17668.18945,15489.7168,8004.882813,14733.48633,6961.90625,8057.601563,6737.912598,7932.537109
A0A075B6S5,IGKV1-27,1353.615601,894.9916992,1101.037842,1530.792603,1255.170166,1782.769653,1696.085693,2331.000244,1540.7948,1962.696899,2768.102783,2724.077393,1593.884277,135.0071716,3199.211426,3928.994385,1065.34729,2794.42749,2397.146729,2353.182373,1229.050781,1546.744873,1309.121094,2262.477295,199.4884644,827.1990967,1697.769531,2123.591797,2312.619141,2379.935303,2299.533936,5349.286133,2254.678711,2956.356445,228.2600403,101.9170914,201.7557068,417.9876709,1334.838257,192.8213806,368.6739502,1657.955444,269.3754272,203.706131,715.6251221,399.5956421
A0A075B6S6,IGKV2D-30,350.2123413,35.47071457,77.4693985,76.44874573,18.32491875,93.62965393,380.0496826,182.3124695,112.7700958,281.5599365,395.0744019,177.1504669,54.32632446,99.59207153,65.66033936,65.17813873,26.06357765,69.31005096,139.2492523,64.26538086,124.5511322,88.71484375,27.64466858,52.75246429,29.49114037,27.42083931,57.70846558,25.01417542,43.82519531,14.42257214,40.99817276,91.91917419,71.97042847,119.241806,48.22103882,460.4072876,82.36476898,29.14045143,41.36737442,53.51650238,76.70053101,79.87187958,21.76148415,216.5501251,34.48006058,6.534158707
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,178.5732574,223.6728821,244.3438416,376.2507019,157.1453857,440.9020386,205.4845123,466.3728333,366.8295898,605.1080933,799.9633179,1043.109741,303.6762695,42.92428207,184.4374237,192.734436,NaN,114.4608994,664.0490112,54.47759628,232.5130005,91.097435,350.7440796,204.0778046,337.1136475,131.461731,414.4624023,454.8263245,239.9512329,297.7931824,75.58111572,891.5812378,NaN,201.769577,31.50353241,231.2147369,NaN,168.1504364,139.3782654,NaN,NaN,146.5401306,37.21070099,NaN,64.53881073,289.6853943
A0A075B7B8,IGHV3OR16-12,3475.143799,2601.499756,878.4121704,3970.62793,3455.099609,766.2195435,833.5610962,2166.571289,4412.293945,5670.698242,2609.083496,1106.977173,1211.309204,7631.721191,4921.856934,6110.833496,1160.766479,1375.570679,2131.621582,5930.76416,2899.504883,8514.785156,1411.56665,5198.357422,3641.92627,3196.036621,984.1130371,5798.749512,2000.285522,4769.69043,3069.30835,37046.6875,3156.013916,1488.669312,3516.48291,7344.562988,8884.272461,5721.361816,7871.029785,3919.342041,6061.480469,6843.243652,3086.889893,1583.184937,3434.424316,4056.253906
A0A075B7D0,IGHV1OR15-1,1420.927368,935.2079468,1463.225098,3333.716553,951.2244873,343.2767334,488.6700439,886.3904419,1483.525024,3934.577637,6312.375488,1423.934204,3136.495117,6891.266113,391.1343689,206.6938629,529.6901855,1513.084595,3050.084961,1292.811768,1409.976929,452.8721619,1549.485107,802.2009277,193.6987305,416.1434021,490.2442322,688.2890625,441.6689148,2168.309326,1900.042603,1156.131714,162.2855835,1385.674438,1531.691162,3424.490234,1291.236816,1348.853394,1528.605103,2110.482666,1366.942017,1772.191406,308.4090881,692.6089478,941.0124512,1081.748413
A0A075B7D4,IGKV1OR2-108,112.0795593,143.8256989,163.2023315,322.4749451,NaN,61.50172424,158.222168,NaN,NaN,NaN,182.3323364,NaN,137.2478333,NaN,NaN,104.3192825,NaN,NaN,272.1313782,NaN,140.220459,191.051651,287.3716431,333.2446289,193.8271027,123.8177185,182.6976776,57.37763596,154.2080994,202.8656616,NaN,780.7931519,198.5898438,NaN,NaN,NaN,NaN,111.1320496,238.3426514,NaN,189.5484772,180.007309,NaN,93.33799744,112.933136,113.0675049
A0A075B7D8,IGHV3OR15-7,97.74047852,85.7599411,176.2348175,210.5096893,220.8617401,222.85849,194.5817566,274.0665894,210.929245,197.8230896,368.1571655,153.5350342,189.8559113,97.8354187,130.3141174,135.5424805,61.74858856,112.3497086,176.3456268,46.32944107,155.1469116,90.64076233,156.6938171,116.3217316,209.0930023,114.2168579,188.4637909,156.6483917,197.4994354,125.7260742,44.40930557,225.4371948,150.4473419,131.2179565,55.72649384,63.24197388,46.96763992,143.4137421,116.1035995,41.3801651,39.85206604,62.94347,48.67599869,40.71638489,55.47366714,24.49752426
A0A075B7E8,IGHV3OR16-13,NaN,NaN,NaN,7.993122578,24.99429893,39.11955643,51.460392,66.83995056,244.484314,46.05833435,41.32579041,38.30780411,49.86843872,73.241539,33.56929779,NaN,NaN,NaN,84.7879715,NaN,NaN,NaN,47.70092392,NaN,58.87979507,NaN,67.78736115,NaN,5.615508556,NaN,NaN,32.34595871,NaN,NaN,88.99237823,9.240581512,NaN,73.26320648,5.098376274,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A087WSX0,IGLV5-45,3275.973877,1929.397095,2959.484131,1615.904175,2648.010498,2009.787109,1781.029785,4811.810059,4563.331055,4717.745605,8781.574219,6352.951172,4705.95459,871.2174072,2876.399658,1894.536011,1395.918335,2603.522705,3483.893311,1242.531616,2037.801514,2400.583496,3622.091797,1867.151611,4030.168213,858.9486694,5562.95459,2698.28125,1788.864746,3783.886719,4714.266113,7005.9375,1425.72583,5597.870605,1299.861694,1244.111572,1837.737549,5488.977051,5714.102539,637.798584,1921.235962,1801.471924,1063.210327,798.2052612,3214.326416,1674.898682
A0A087WSY6,IGKV3D-15,1266.204956,864.2804565,609.7809448,663.2348022,919.059021,525.8726196,875.5744019,911.3413696,718.0643921,1257.698486,928.3938599,1516.347778,674.4419556,1940.7677,694.3557739,1012.775024,110.2693253,581.5025024,686.907959,887.7654419,399.4911194,953.4581909,553.9107666,681.1980591,920.1620483,301.9548645,388.7880554,497.0595093,812.0827026,680.1824341,295.2557373,738.8866577,428.1962585,645.3587036,889.7223511,696.2080688,752.3018799,353.2407227,1394.770386,1097.663086,1046.085205,805.272522,536.6994019,390.07724,838.116394,825.3510132
A0A087WSZ0,IGKV1D-8,96.5447464,12.73174477,74.07369995,84.19232178,128.9470215,52.0234108,29.76267433,201.1651611,185.8925171,177.3891907,112.2388077,62.28670502,83.58348083,NaN,92.66816711,141.6921692,116.6451569,67.73088074,177.3463287,84.20797729,40.40616226,91.05299377,150.0327301,188.4521332,172.3540039,175.7724915,61.253479,62.90805435,83.51620483,143.3512115,55.67308044,260.9092407,83.71070862,95.2587204,26.21154404,28.94003868,35.73441696,29.22678947,60.20957184,26.25622177,59.83279419,58.07299805,40.81674194,19.48094177,65.92630005,56.13003159
A0A087WW87;P01614,IGKV2-40;IGKV2D-40,199.8495483,61.37770462,140.3447113,80.03787231,57.58592224,123.9394684,77.78045654,108.0016785,104.7414246,171.1264648,161.1838074,118.2888489,271.6872559,219.6417389,417.7893677,131.0943756,119.1876373,117.4685669,844.8058472,57.53236389,194.4578094,58.99906158,81.57318115,151.766922,493.9542236,94.06210327,440.4554749,91.80031586,116.2369537,45.97841263,92.51168823,88.06052399,331.8552856,116.3933792,77.08896637,71.3236618,87.67494202,125.7277451,84.45472717,91.98384857,96.3081131,212.9764099,83.3467865,41.65247345,62.36251831,47.14615631
A0A087WYE8;A0A0B4J2B8,IGHV1OR21-1;IGHV1OR15-9,60.77645493,82.65009308,92.40625763,860.4865723,48.42628098,250.136261,62.89851379,345.387207,663.5814209,354.1835938,318.9300842,424.9738159,266.1785889,209.0209503,109.4169388,186.0413055,94.63224792,40.82785797,477.7572937,60.44895172,244.2626343,409.5444031,355.0026245,111.7396469,163.6622314,70.26041412,438.4414978,88.28414917,173.3892822,71.86813354,75.71353912,127.0390167,76.25164795,165.5223846,158.4614563,191.3647766,157.1942749,53.08178329,67.40847778,46.29003143,115.3075409,131.2385254,74.09492493,52.18658447,82.70276642,86.34415436
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,12860.46191,5155.548828,13507.69434,20070.94141,11578.47656,11354.03613,19094.94531,26487.90625,18998.45508,33772.22266,17979.81445,19181.24219,15838.55176,8208.064453,6015.847168,8301.638672,1820.165649,7310.669434,16083.80957,7122.193848,8832.288086,9703.501953,7457.838867,5767.615234,5106.202148,3655.072998,9084.193359,3959.09082,7778.071289,7626.451172,5322.192383,6931.335938,7216.523926,6459.915039,4994.784668,2403.752197,4715.758789,3939.354004,6000.549316,4957.534668,4150.058105,4258.237793,2870.532471,2521.388916,1209.752197,1050.439087
A0A0A0MRZ9,IGLV5-52,11.08213425,NaN,4.646121979,NaN,5.26402092,NaN,NaN,8.44995594,NaN,NaN,NaN,NaN,NaN,NaN,13.62999916,NaN,NaN,26.02145195,6.014710903,4.088477135,12.68978596,NaN,2.952452183,NaN,14.32788277,NaN,NaN,5.441720486,NaN,5.260626793,4.973784447,NaN,NaN,NaN,6.383322239,23.37834358,NaN,11.57487965,18.35241699,NaN,5.75857687,3.605039358,8.193510056,NaN,NaN,3.380316019
A0A0A0MS14,IGHV1-45,62.07484436,86.46074677,NaN,80.4650116,206.5362396,201.8755035,69.69732666,245.4245758,173.0799103,NaN,331.868927,506.8798218,501.9291992,257.6402588,323.3389282,204.5272675,246.5968933,354.8284912,386.5101624,175.0267639,408.1850891,157.7851563,1458.30481,494.0819092,549.9731445,149.5630646,416.7579346,308.6005859,431.2834167,258.5256653,121.817337,220.4831848,92.12543488,267.5654907,207.7463837,242.8273163,340.8067322,299.3013,433.3419495,400.5820007,74.35945892,169.9206696,364.800354,210.9637756,224.2488403,49.71618652
A0A0A0MS15,IGHV3-49,1564.45752,1444.755737,3459.788818,2196.116455,1980.051514,4594.152344,3208.258789,3522.503418,2634.541748,8802.801758,7414.359375,3454.804199,5605.202148,12111.48438,1545.52124,1823.304321,1051.398193,4917.185059,2818.148438,2559.551758,1832.151001,3709.976074,2264.722656,1603.665405,1358.855957,1339.500488,2213.641602,1704.899292,3176.06543,2465.436523,1199.504517,4941.115723,1357.341553,2037.810791,4248.674805,6196.089844,1420.78894,4790.847656,5878.056152,6334.044922,3902.356934,1722.127563,2717.934326,1901.811401,3629.648193,2284.514648
A0A0A0MT36,IGKV6D-21,344.2384033,347.3667603,333.0575256,691.0386963,569.5559692,362.5090637,1216.073608,530.5893555,525.4117432,747.2399292,579.1697998,1482.915161,859.319519,257.8427429,468.4009705,684.5745239,670.0739746,862.8239746,1011.5896,477.0467529,553.2515869,300.6669617,683.8826294,251.8078003,1175.164551,413.7034607,643.7297974,695.2386475,436.0938416,573.092041,908.3529053,956.2397461,378.4779663,944.2143555,165.5624542,357.0998535,97.64369965,137.1087952,241.8802338,468.1892395,362.9086914,707.3560791,291.5154724,148.364624,249.5109558,532.0702515
A0A0A0MT89,IGKJ1,1263.967529,950.9060059,435.4924011,390.2907104,3174.146973,80.85281372,1844.765015,509.5812988,345.2298279,292.224884,527.4568481,199.8765869,182.7652435,952.6785889,449.2881165,767.4696045,93.28971863,333.1178589,549.3849487,1621.334351,552.645874,1353.899658,440.7155457,1663.537476,437.7717896,193.884964,86.16956329,137.9614258,515.4656982,416.3070374,276.4250793,1574.962646,782.494751,168.7806396,77.19300842,760.2871094,586.5748291,701.9666138,2967.786865,1269.287231,536.4954834,657.6871948,821.8900757,120.9780045,466.5871582,772.1911621
A0A0B4J1U3,IGLV1-36,278.3207092,20.54956818,42.14677048,23.72065735,10.79693604,20.16604614,2472.052002,1165.354248,465.2542419,1278.088013,635.8375244,391.4439392,1132.810669,383.2153931,100.4726181,149.0276642,NaN,NaN,NaN,NaN,39.75702667,404.1000977,11.92212963,191.8168335,131.9698029,154.0226746,215.1472931,217.8001556,198.281662,206.6996765,39.38831329,167.5570374,128.5506744,NaN,144.2869415,628.1004028,249.2014008,1669.217651,159.6491089,369.3682861,522.7230835,600.6068115,226.2031403,234.8416595,253.7633667,186.3710327
A0A0B4J1U7,IGHV6-1,1279.447632,742.6251831,1409.248901,1118.466309,1614.033447,1886.959351,1249.888062,1082.317383,949.9358521,2680.963623,2313.770752,1083.969604,1270.947632,2051.882813,1894.149658,1629.107422,1193.292114,1196.313843,3369.396973,1272.066895,985.2704468,2534.418945,1225.51123,1355.234497,1188.70752,719.0213013,1675.554199,1562.185425,2376.201904,445.0260315,1939.37146,1315.145508,1781.054077,1597.358765,1267.81897,2059.641846,749.6088257,3902.701172,3772.926025,2023.092529,1179.218994,1410.815918,932.7546997,837.4686279,2059.634521,1796.810913
A0A0B4J1V0,IGHV3-15,325.2242737,374.7948914,532.4277344,572.1824341,776.8545532,1207.469849,420.1348572,408.467865,333.9518127,525.1010132,1005.778442,868.4710083,498.6968994,501.2120667,610.9365845,573.6026611,346.6342468,518.4742432,1083.85498,379.4090271,603.8002319,291.3658752,397.7338257,576.8751221,506.6170959,314.6226807,852.4712524,721.1642456,612.3826294,497.3881226,399.9247742,545.1838379,825.0269165,810.1193237,586.9315796,1438.667358,505.5845032,1172.397217,905.1902466,318.0551758,642.3197632,512.1524048,193.2869873,440.4475098,454.7573242,192.5813141
A0A0B4J1V2,IGHV2-26,39.33956909,12.88025188,43.54823685,41.83261871,90.43558502,20.39925194,26.32978439,32.18291092,79.4345932,13.82054615,49.42496109,57.78848648,16.30871582,120.437088,46.39163589,29.19400787,9.905673027,33.51542282,45.2374382,27.25498772,62.46348572,23.38056374,41.47576523,52.4610405,36.65128326,18.25717163,51.87471008,43.90215683,44.51514816,27.12470245,10.33947468,28.37582207,59.8795433,9.929538727,56.27579498,218.5654755,37.43980789,27.42505455,35.71272659,10.60028934,17.47565079,56.83058167,22.34308624,11.20897388,8.147188187,21.40797806
A0A0B4J1V6,IGHV3-73,40.84622192,33.69129181,NaN,76.4384079,37.68262482,36.59995651,NaN,82.77062988,91.45079803,43.68962097,86.73802948,NaN,48.99219513,335.7446899,71.55178833,24.11252785,20.47661591,NaN,67.94521332,67.76371765,60.5278244,47.72276688,52.62943268,72.95684052,NaN,35.81985855,26.01661873,32.69948578,102.0159683,49.63483429,34.82868576,64.00593567,56.37107086,45.81512451,88.07037354,144.4435272,62.97047424,298.7185669,216.1639252,141.1230927,80.96994019,NaN,46.23344421,23.29732704,NaN,15.53938961
A0A0B4J1V7,IGHV7-81,45.27975845,NaN,NaN,NaN,NaN,15.38782215,NaN,NaN,NaN,NaN,NaN,NaN,12.95275688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.78669739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A0B4J1X5,IGHV3-74,167.7831116,129.1316833,216.7569122,135.4142303,167.5794067,352.5984802,310.6079407,214.5246582,319.2713013,747.7650146,268.8381653,290.1469421,208.0034943,173.2819061,75.70500183,49.59270859,104.1537323,352.9429016,174.017868,71.49623871,147.3331604,125.934288,149.8382874,73.17105865,40.51492691,66.59761047,269.7037354,197.1337585,108.7909622,67.48371124,272.6203308,251.3424835,132.5509186,159.0447083,62.58701706,157.4559937,94.99465179,227.581131,303.146698,88.86765289,117.9092484,196.9577942,51.31665802,151.7837372,177.7487793,92.48075104
A0A0B4J1X8,IGHV3-43,42.43495178,35.61948013,52.68009186,49.61500168,23.91451454,50.03173447,31.66259003,56.42355728,77.30599976,47.91054535,49.96329498,37.0774231,32.78658676,910.6237183,20.57655716,107.6641922,48.41453934,44.63199615,62.92424011,127.0160217,65.51676941,23.01085663,48.61392975,56.6502533,105.4347076,31.71605492,198.7699738,13.22625065,73.13478088,44.98843002,53.35173416,83.91486359,20.93593788,11.72021103,45.20822525,152.5264282,21.88532639,95.78972626,47.99632645,290.5009155,36.73993301,30.7303791,36.75040054,29.16414642,15.02701378,20.5892067
A0A0B4J1Y8,IGLV9-49,581.3778076,329.5632629,367.6890259,336.4343872,940.6127319,387.371582,2140.939453,673.7423096,1061.719482,1616.438232,727.8240356,529.7125854,2511.901855,743.9415283,208.5500641,318.0006104,340.9297485,251.0321198,430.0132141,131.7319641,215.7885437,434.3735657,427.1326599,475.8875427,582.4002686,81.33369446,207.9275513,212.9793243,326.6551208,112.5478363,271.8167725,650.5361938,276.7688599,549.6825562,190.3162384,568.9917603,89.20503235,305.1231384,516.567749,134.5006104,41.84420013,226.9291229,189.4663239,372.0453796,329.3289795,334.3894653
A0A0B4J1Y9,IGHV3-72,871.4196167,714.027771,1597.613403,1134.57312,1079.521118,1904.315674,1979.559814,2128.965332,1595.293701,2043.991821,3425.822754,2510.486572,2682.822021,3448.356201,1228.940063,1862.086182,1183.602539,2911.349365,3394.499268,1123.640869,2771.490479,1950.602661,3616.895752,1739.193481,2710.394775,651.0960693,2983.118896,1112.459595,2989.705322,1001.173279,1058.996948,1975.551025,1533.053955,2076.855957,2734.679199,3977.387451,4010.743652,4195.373047,2828.168457,2711.792236,2588.320068,1100.787109,1008.399902,2167.243164,1747.41687,865.8228149
A0A0B4J2B5,IGHV3OR16-9,9891.448242,5980.263184,7473.808594,11887.96582,8668.933594,7461.657715,9787.045898,11538.34473,11454.27637,14077.57813,16826.9707,8499.776367,11491.11328,29176.65625,6526.407715,7180.071289,4790.668945,5123.436523,9674.644531,7848.292969,6085.881348,11735.2959,6576.299316,8074.978516,8205.144531,3591.113037,7181.072754,6441.110352,9136.302734,6098.678223,2518.717041,7896.573242,5019.583008,4664.237305,24882.37109,33270.14844,18910.17578,19597.62891,14380.62695,29432.12305,24970.51172,3398.409424,9974.838867,13092.29199,4556.191406,3299.804199
A0A0B4J2D5;P0DPI2,GATD3B;GATD3,22.47695732,15.04718113,14.8000536,NaN,33.49065018,NaN,NaN,NaN,NaN,NaN,4.497125149,NaN,NaN,9.685728073,16.56381607,33.8944664,116.3480148,19.17980194,64.1290741,6.803053379,48.14588547,30.43520355,45.24835587,25.37173271,12.64467812,32.34713745,75.09923553,25.92313385,14.73931408,NaN,60.37407303,6.130792618,NaN,6.969779491,18.46014023,18.4513092,10.89729118,16.21876335,9.019062996,3.000552416,4.687528133,11.14661598,10.82648563,18.02425575,32.92805481,42.80648041
