PG.ProteinAccessions,GeneID,P10_01,P10_02,P10_03,P10_07,P10_08,P10_21,P10_22,P10_23,P10_24,P10_25,P10_26,P10_27,P10_28,P11_39,P11_01,P11_02,P11_03,P11_04,P11_05,P11_06,P11_07,P11_08,P11_09,P11_10,P11_11,P11_12,P11_13,P11_14,P11_15,P11_16,P11_17,P11_18,P11_19,P11_20,P11_21,P11_22,P11_23,P11_24,P11_25,P11_26,P11_27,P11_28,P11_29,P11_30,P11_31,P11_32
P45974,USP5,203.1369476,214.7064362,300.9669495,150.507782,224.9887543,167.9803314,203.0305786,174.0196838,198.3440247,104.7731857,185.6677704,174.3157349,176.2532806,62.14958572,114.6589966,88.18824005,93.59606934,79.62741089,111.8795319,70.26452637,91.52272797,46.01340866,67.28070068,111.5107193,100.9366531,46.89601517,133.9612732,117.3886871,53.06402588,105.6863251,68.47399902,68.10083771,99.24757385,87.29866791,58.09818268,67.29656219,85.31734467,68.75865936,44.45549393,47.03933716,78.15429688,21.08008766,81.47824097,105.6446075,167.2396851,55.14132309
P46019,PHKA2,60.55611038,25.60910416,45.92587662,NaN,12.70501518,NaN,22.69569778,NaN,NaN,NaN,NaN,9.913057327,NaN,11.21855736,20.61520195,24.84224319,14.58907127,NaN,19.63301086,NaN,28.33730698,10.89460373,19.33362198,11.13247871,43.79077911,NaN,24.61936188,14.92273045,11.60731411,8.974634171,NaN,NaN,NaN,NaN,29.51659012,45.87770462,15.39520359,NaN,18.59607506,NaN,NaN,NaN,NaN,17.1755867,40.46435547,15.48368645
P46060,RANGAP1,368.8604126,190.6005096,280.7182007,187.7433014,311.5948792,284.7395935,438.7896423,244.220459,329.407135,125.5705261,316.0238647,350.8680725,310.9020996,169.5308075,173.502594,132.6717377,57.38214493,141.3354034,109.922081,179.6907654,108.8689499,91.65033722,165.2234802,123.403595,200.1882019,88.05287933,259.744873,410.7202148,85.62298584,137.1117554,40.0208931,98.9936142,144.0914917,86.3250351,176.0223389,98.2390213,193.2664948,174.9315948,176.4203796,194.2754669,295.1032715,128.6568604,499.4697266,367.0021362,421.3921509,600.4295654
P46087,NOP2,NaN,31.0231514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.33229065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.38988113,NaN,NaN,57.36454773
P46109,CRKL,495.6802673,296.0126953,520.8851318,205.8596954,329.335907,128.3430481,106.4506149,120.8312531,204.3807526,89.48249054,127.585762,209.1511841,145.4130554,146.3617554,68.96605682,50.12480164,130.1173706,45.29101181,156.4336853,33.0844841,109.3120117,60.97200775,91.64283752,67.87575531,37.53531647,48.40763474,165.4813538,29.01786804,69.86778259,29.12832642,45.4153862,22.92770004,34.76113892,64.29670715,58.04760742,139.3773804,62.93648529,60.35731888,45.61981964,12.36470699,NaN,21.82236671,32.47096252,47.84162903,102.6290741,54.15906525
P46379,BAG6,183.4408875,100.580986,166.7549438,32.14346313,71.83626556,36.06860352,46.84659958,25.67260933,34.01296616,25.04027939,20.12771797,39.12205505,27.96791458,196.0999603,30.39534187,43.76160049,32.74778748,22.11660767,38.52640915,27.22924423,45.21235275,27.41076469,44.58076096,23.80091476,19.99241257,24.94691658,67.06881714,35.31480408,22.20410728,26.76965141,19.52679825,16.05019569,15.05207825,40.58989334,25.60897446,33.68141556,38.67033768,19.95376587,29.43412971,33.47161102,13.60159969,17.53808784,18.53764725,23.162117,73.88562775,50.30298996
P46459,NSF,145.4882507,115.7239761,136.4845734,52.29084015,55.08433914,67.9991684,154.2039795,59.85357666,49.22702408,34.20943069,78.49721527,106.0912857,73.61125183,26.40330887,75.41594696,58.542202,110.9078217,70.37976837,131.7661438,31.99256897,146.2205658,50.39784241,119.2352829,63.69382858,66.43419647,54.47049713,145.7410736,63.70626068,62.36329269,59.98024368,57.8092804,31.30998611,50.87823486,68.39762115,53.01235962,49.24454498,52.4741478,55.7191391,38.23496628,50.35674667,32.35839844,39.91976166,65.15383911,86.80887604,155.7962646,63.08149338
P46531,NOTCH1,2155.858154,1971.079956,1843.948853,2056.087158,2246.502686,3533.988281,3900.59082,3885.937012,2402.600586,3328.561523,4003.667236,2298.487549,3082.183594,1851.692017,3931.253174,2855.571777,2181.988281,3355.804199,1067.942627,2167.437012,2205.477539,2531.421631,2092.354248,2583.16333,3485.793213,2589.326172,2309.4021,2622.346924,1745.866821,3625.797852,2413.038574,4387.026367,5298.677734,3281.325928,1589.893311,1034.567627,1301.379272,1214.160767,1788.30835,1513.701294,1824.386719,1941.280518,1277.440308,1188.807739,1324.976929,1495.397583
P46734,MAP2K3,96.10844421,100.4934158,126.0385361,45.76668549,97.49261475,118.1470871,197.5676117,36.18399429,50.18243027,45.26050568,110.1233444,120.4275742,83.79644012,62.14738846,59.03569031,42.36894226,68.70850372,43.94323349,131.8005676,28.58399773,94.43516541,28.94660378,65.87192535,31.92002296,76.79318237,47.71379089,169.4490356,44.6549263,54.04486465,45.01235962,38.44410324,52.71944046,39.95472717,99.76651001,47.7897644,28.62488365,22.76705742,53.93476105,85.63598633,NaN,44.45334244,31.66675377,26.55586243,48.78245926,106.7220001,69.89823914
P46736,BRCC3,167.4455719,99.63945007,267.3077698,4.633359432,109.8884964,16.03112793,16.96749878,16.55212975,11.66125679,16.42572212,5.29774189,12.35110664,12.70052624,7.951525688,34.09930038,28.39840126,19.17530823,65.40601349,20.53232193,16.07168388,63.30632782,20.15664673,32.15971375,32.65038681,40.61160278,18.06766319,78.91098022,35.20227432,13.51757145,11.56079197,11.42317677,17.28344345,19.3045311,11.29802418,9.700844765,5.07553339,19.50233841,6.904973984,14.03378105,2.578491688,15.0425396,19.1889019,2.658472776,36.89506912,50.61342621,38.21984482
